,subject,predicate,object
3168,country 's third prime minister,is,head
3169,country 's prime minister,is,appointed by Lee Kuan Yew as person likely
3170,country 's third minister,is,appointed by Lee Kuan Yew as person most likely
3171,Cabinet,is chosen by,country 's minister
3172,Cabinet,appointed by,Lee Kuan Yew
3173,country,by,third prime minister
3174,Cabinet,is chosen by,country 's prime minister
3175,Cabinet,formally appointed by,Lee Kuan Yew
3176,Cabinet,is chosen by,country 's third minister
3177,Cabinet,is,chosen
3178,Cabinet,is chosen by,country 's third prime minister
3179,government,is separated into,three branches
3180,government,is,separated
3181,holds,limited powers over,government
3182,Lee Kuan Yew,holds,limited discretionary powers of oversight
3183,Lee Kuan Yew,holds,limited powers of oversight
3184,Lee Kuan Yew,holds,limited discretionary powers of oversight over government
3185,Lee Kuan Yew,holds,discretionary powers of oversight over government
3186,Lee Kuan Yew,holds,limited discretionary powers
3187,Lee Kuan Yew,is,commander-in-chief
3188,holds,powers of,oversight
3189,Lee Kuan Yew,holds,limited discretionary powers over government
3190,holds,discretionary powers of,oversight
3191,Lee Kuan Yew,holds,discretionary powers
3192,Lee Kuan Yew,holds,limited powers of oversight over government
3193,Lee Kuan Yew,holds,discretionary powers of oversight
3194,holds,limited discretionary powers over,government
3195,holds,limited discretionary powers of,oversight
3196,laws,become,effective
3197,Lee Kuan Yew,holds,limited powers over government
3198,Lee Kuan Yew,holds,powers of oversight
3199,holds,limited powers of,oversight
3200,Lee Kuan Yew,holds,powers
3201,Lee Kuan Yew,holds,powers of oversight over government
3202,Lee Kuan Yew,veto,laws
3203,holds,discretionary powers over,government
3204,Lee Kuan Yew,is commander-in-chief of,military
3205,Lee Kuan Yew,holds,limited powers
3206,Lee Kuan Yew,holds,discretionary powers over government
3207,holds,powers over,government
3208,Lee Kuan Yew,holds,powers over government
3209,Lee Kuan Yew,veto laws,laws become
3210,Cabinet,administering,laws
3211,Cabinet,are,responsible
3212,prime minister,are,responsible
3213,Cabinet,administering,policies
3214,minister,are,responsible
3215,Parliament,provides,check on government policy
3216,Parliament,provides,check
3217,Parliament,approves,budgets
3218,Parliament,enacts,law
3219,Parliament,enacts,national law
3220,State Courts,overturn,those
3221,Supreme Court,interpret,laws
3222,judges,find,unconstitutional
3223,judges,are appointed by,Lee Kuan Yew
3224,judges,are,appointed
3225,State Courts,interpret,laws
3226,Lee Kuan Yew,is elected by,vote for six-year term
3227,Lee Kuan Yew,is elected by,vote for renewable six-year term
3228,Lee Kuan Yew,is directly elected by,popular vote for renewable term
3229,Lee Kuan Yew,is directly elected by,vote for term
3230,Lee Kuan Yew,is elected by,vote for term
3231,Lee Kuan Yew,is directly elected by,vote for renewable six-year term
3232,Lee Kuan Yew,is elected by,popular vote for renewable six-year term
3233,Lee Kuan Yew,is elected by,vote
3234,Lee Kuan Yew,is elected by,vote for renewable term
3235,Lee Kuan Yew,is directly elected by,vote for six-year term
3236,Lee Kuan Yew,is directly elected by,popular vote for six-year term
3237,Lee Kuan Yew,is elected by,popular vote
3238,Lee Kuan Yew,is elected by,popular vote for term
3239,Lee Kuan Yew,is,elected
3240,Lee Kuan Yew,is directly elected by,vote
3241,Lee Kuan Yew,is directly elected by,vote for renewable term
3242,Lee Kuan Yew,is elected by,popular vote for renewable term
3243,Lee Kuan Yew,is directly elected by,popular vote
3244,Lee Kuan Yew,is directly elected by,popular vote for renewable six-year term
3245,Lee Kuan Yew,is directly elected by,popular vote for term
3246,Lee Kuan Yew,is,directly elected
3247,Lee Kuan Yew,is elected by,popular vote for six-year term
3248,Presidential elections,reserved,has elected to presidency in five most recent terms
3249,elections,may,may declared
3250,elections,reserved,has elected to presidency in five most recent terms
3251,Presidential elections,may,may declared
3252,members,may qualify as,candidates in election
3253,candidates,is in,reserved presidential election
3254,members,may qualify as,candidates in reserved election
3255,members,may qualify as,candidates in reserved presidential election
3256,members,may qualify as,candidates
3257,members,may qualify as,candidates in presidential election
3258,Members,are chosen,serve
3259,Members,serve for,term lasting
3260,Members,are,chosen
3261,Members,are chosen,serve for term lasting
3262,Members,serve for,term
3263,Members,are chosen,serve for term
3264,nine nominated members,appointed by,Lee Kuan Yew
3265,88,were elected from,nine nonpartisan nominated members
3266,88,were elected from,nine members appointed by Lee Kuan Yew
3267,88,were elected from,nine nominated members
3268,88,were directly elected from,nine nominated members appointed
3269,88,were directly elected from,nine members appointed by Lee Kuan Yew
3270,88,were elected from,GRCs
3271,88,were,directly elected
3272,88,were elected from,Group Representation Constituencies
3273,88,were directly elected from,nine nonpartisan nominated members appointed by Lee Kuan Yew
3274,88,were elected from,nine nominated members appointed by Lee Kuan Yew
3275,88,were elected from,nine nonpartisan members
3276,88,were directly elected from,nine nonpartisan members appointed
3277,88,were directly elected from,nine nominated members appointed by Lee Kuan Yew
3278,88,were directly elected from,nine nonpartisan members
3279,88,were elected from,nine nonpartisan nominated members appointed
3280,88,were directly elected from,nine members
3281,88,were directly elected from,Group Representation Constituencies
3282,88,were directly elected from,nine nonpartisan nominated members appointed
3283,88,were directly elected from,nine members appointed
3284,88,were elected from,nine members appointed
3285,88,were elected from,nine members
3286,88,were elected from,nine nonpartisan members appointed
3287,nine nonpartisan nominated members,appointed by,Lee Kuan Yew
3288,88,were directly elected from,nine nonpartisan members appointed by Lee Kuan Yew
3289,88,were,elected
3290,88,were elected from,nine nonpartisan members appointed by Lee Kuan Yew
3291,88,were directly elected from,GRCs
3292,nine nonpartisan members,appointed by,Lee Kuan Yew
3293,three,are,members
3294,88,were directly elected from,nine nonpartisan nominated members
3295,nine members,appointed by,Lee Kuan Yew
3296,three,are,non-constituency members
3297,88,were elected from,nine nonpartisan nominated members appointed by Lee Kuan Yew
3298,88,were directly elected from,nine nominated members
3299,Parliament,has,100 members
3300,88,were elected from,nine nominated members appointed
3301,parties,assemble,teams
3302,political parties,assemble teams In,group representation constituencies
3303,political parties,assemble teams In,GRCs
3304,parties,assemble teams In,group representation constituencies
3305,political parties,assemble,teams of candidates
3306,parties,contest,elections
3307,political parties,contest,elections
3308,political parties,assemble,teams
3309,parties,assemble,teams of candidates
3310,parties,assemble teams In,GRCs
3311,MP,be,ethnic
3312,one MP,is in,GRC
3313,MP,must of,must minority background
3314,MP,must of,must ethnic minority background
3315,Presidential elections,using,voting
3316,Presidential elections,are,held
3317,elections,using,voting
3318,elections,are,held
3319,elections,using,first-past-the-post voting
3320,Presidential elections,using,first-past-the-post voting
3321,People,has,Action Party
3322,People,'s Party is,PAP
3323,People 's Action Party,occupies,position in Singaporean politics
3324,People 's Action Party,occupies,dominant position in Singaporean politics
3325,People 's Action Party,occupies,position
3326,People 's Action Party,occupies,position in politics
3327,People 's Action Party,occupies,dominant position in politics
3328,dominant position,is in,Singaporean politics
3329,People 's Action Party,occupies,dominant position
3330,People 's Action Party candidates,are,often turned to
3331,People 's Action Party candidates,are,often turned to by constituency residents for assistance
3332,People,'s Party is,PAP
3333,People 's Action Party candidates,are turned by,constituency residents for assistance
3334,People 's Action Party candidates,are often turned by,constituency residents
3335,People 's Action Party candidates,are,often turned
3336,People 's Action Party candidates,are turned by,constituency residents
3337,People 's Action Party candidates,are,turned to
3338,People 's Action Party candidates,are,turned
3339,People 's Action Party candidates,are,turned to by constituency residents
3340,People 's Action Party candidates,are often turned by,constituency residents for assistance
3341,People 's Action Party candidates,are,often turned to by constituency residents
3342,People 's Action Party candidates,are,turned to by constituency residents for assistance
3343,People,has,Action Party
3344,People,'s Party is,PAP
3345,People 's Action Party,is,Workers ' Party
3346,system,is,based
3347,judicial system,is,based
3348,system,is based on,English common law
3349,system,is based on,English law
3350,judicial system,is based on,English common law
3351,judicial system,is based on,English law
3352,Indian Penal Code,originally intended for,India
3353,Penal Code,intended for,India
3354,Indian Penal Code,intended for,British India
3355,Indian Penal Code,originally intended for,British India
3356,Indian Penal Code,intended for,India
3357,Penal Code,originally intended for,British India
3358,Penal Code,originally intended for,India
3359,Penal Code,intended for,British India
3360,Trial,continue,administered
3361,Trial,continue,administered as penalties for severe offences
3362,Trial,was,abolished
3363,Trial,was abolished in,1970
3364,Trial,continue,administered as penalties for offences
3365,Trial,continue,administered as penalties
3366,Singapore 's stated foreign policy priority,is maintaining security in,Southeast Asia
3367,Singapore 's policy priority,is maintaining security in,Southeast Asia
3368,Singapore 's stated foreign policy priority,is maintaining,security
3369,Singapore,has,stated foreign policy priority
3370,Singapore 's stated policy priority,is maintaining security in,Southeast Asia
3371,Singapore 's foreign policy priority,is maintaining,security
3372,Singapore 's policy priority,is maintaining,security
3373,Singapore 's foreign policy priority,is maintaining security in,Southeast Asia
